iter	MAE
224	11.2024385
225	11.19803018
226	11.19799404
227	11.1977063
228	11.19697254
229	11.19315493
230	11.19278115
231	11.18862502
232	11.18801801
233	11.187986
234	11.18443999
235	11.18430058
236	11.18411936
237	11.1839925
238	11.18375147
239	11.18369539
240	11.1815373
241	11.18137752
242	11.17884839
243	11.17838911
244	11.17816951
245	11.17754323
246	11.17719007
247	11.17655791
248	11.17472659
249	11.17457256
250	11.17383758
251	11.17310632
252	11.17187586
253	11.17114207
254	11.16969271
255	11.16736118
256	11.16689903
257	11.16682746
258	11.16673797
259	11.16411932
260	11.16268822
261	11.161536
262	11.15793737
263	11.15665771
264	11.15651985
265	11.15641679
266	11.1559037
267	11.15582237
268	11.15348785
269	11.15070799
270	11.15067465
271	11.15059222
272	11.14717594
273	11.1465678
274	11.1464993
275	11.14636904
276	11.14484426
277	11.1446476
278	11.14384708
279	11.14377466
280	11.14344154
281	11.1431285
282	11.14276315
283	11.14220756
284	11.14218355
285	11.14206726
286	11.14200602
287	11.14130048
288	11.1408095
289	11.14029369
290	11.14012248
291	11.13861635
292	11.1361892
293	11.13263054
294	11.13106757
295	11.13054646
296	11.13049278
297	11.13044249
298	11.13014832
299	11.12986344
300	11.12841657
301	11.12751772
302	11.12713304
303	11.12447709
304	11.12372098
305	11.12367927
306	11.12329837
307	11.12317612
308	11.12233384
309	11.12100362
310	11.12094925
311	11.12087821
312	11.12069107
313	11.120538
314	11.11917198
315	11.11903363
316	11.11864225
317	11.11861679
318	11.11817672
319	11.11812325
320	11.11805337
321	11.11570292
322	11.11547738
323	11.11540382
324	11.11527182
325	11.1150868
326	11.11451312
327	11.11446225
328	11.11360255
329	11.1111877
330	11.11014955
331	11.11008122
332	11.10925683
333	11.10795142
334	11.10762078
335	11.10647715
336	11.10580954
337	11.10515596
338	11.10482943
339	11.10478895
340	11.10404997
341	11.1036189
342	11.10291111
343	11.10256614
344	11.10102102
345	11.10086318
346	11.10052409
347	11.09974586
348	11.09971592
349	11.09950033
350	11.09881409
351	11.09879583
352	11.09830674
353	11.09767865
354	11.09491532
355	11.09298487
356	11.09276693
357	11.09258011
358	11.09244149
359	11.09198953
360	11.0919463
361	11.09038523
362	11.0902232
363	11.0900405
364	11.09001219
365	11.08940911
366	11.08818244
367	11.08813805
368	11.08738364
369	11.08732496
370	11.08474929
371	11.08468388
372	11.08225214
373	11.08210852
374	11.07988319
375	11.0795707
376	11.07928122
377	11.07732666
378	11.07705007
379	11.07703126
380	11.07700704
381	11.07576169
382	11.07560763
383	11.07552414
384	11.07262996
385	11.07233407
386	11.07209894
387	11.06983228
388	11.06951941
389	11.06945857
390	11.06912582
391	11.06863906
392	11.0684581
393	11.06769707
394	11.06734683
395	11.06670798
396	11.06666704
397	11.06504802
398	11.0650248
399	11.06499813
400	11.06488101
401	11.06332994
402	11.06297626
403	11.06133091
404	11.06101325
405	11.05976323
406	11.05889473
407	11.05886937
408	11.05880314
409	11.05770599
410	11.05759338
411	11.05710684
412	11.05697724
413	11.05615436
414	11.05467063
415	11.05458142
416	11.05455615
417	11.0542302
418	11.05421725
419	11.05418238
420	11.05364208
421	11.053481
422	11.05339735
423	11.05309321
424	11.05305171
425	11.05300599
426	11.05201388
427	11.05161558
428	11.04821154
429	11.0478577
430	11.04783506
431	11.04766182
432	11.0471428
433	11.04705057
434	11.04641871
435	11.04632933
436	11.04626618
437	11.04570541
438	11.04566417
439	11.04553493
440	11.04511162
441	11.04257539
442	11.04146741
443	11.04109918
444	11.04094924
445	11.0409456
446	11.03988768
447	11.03981944
448	11.03929246
449	11.03888153
450	11.03875359
451	11.03868436
452	11.03865911
453	11.03840986
454	11.03781443
455	11.0378087
456	11.03773375
457	11.03770073
458	11.03763729
459	11.03670738
460	11.0365543
461	11.03651199
462	11.03600408
463	11.03513587
464	11.03425646
465	11.03361312
466	11.03350997
467	11.03348717
468	11.03258938
469	11.03161233
470	11.03137657
471	11.03036876
472	11.02963662
473	11.02936455
474	11.02822231
475	11.02784611
476	11.02780524
477	11.0277884
478	11.02773119
479	11.02652228
480	11.02638407
481	11.02480027
482	11.02411818
483	11.02381989
484	11.02354472
485	11.02180879
486	11.02118797
487	11.01988615
488	11.01985885
489	11.0189016
490	11.01814284
491	11.01736617
492	11.01734347
493	11.0166823
494	11.01605021
495	11.01598909
496	11.01583488
497	11.0152187
498	11.01417158
499	11.01406222
500	11.01366028
501	11.01311071
502	11.01307213
503	11.01304054
504	11.01199939
505	11.01151626
506	11.01149627
507	11.01146677
508	11.01139284
509	11.01010758
510	11.00989956
511	11.00918241
512	11.00873115
513	11.00864485
514	11.00853539
515	11.00821895
516	11.00817829
517	11.00725548
518	11.00709852
519	11.00627775
520	11.00540087
521	11.00537011
522	11.00534012
523	11.00474127
524	11.00467369
525	11.00465015
526	11.00461571
527	11.00324271
528	11.00319085
529	11.00312293
530	11.00193934
531	11.00178998
532	11.00034869
533	11.00031265
534	10.99916632
535	10.99910876
536	10.99889921
537	10.99886165
538	10.99871403
539	10.99866923
540	10.99837276
541	10.99836795
542	10.99798569
543	10.99717329
544	10.99650448
545	10.99647721
546	10.99642265
547	10.99641674
548	10.99602737
549	10.99602067
550	10.9958753
551	10.99580067
552	10.9957575
553	10.99572387
554	10.99569637
555	10.99563862
556	10.99511657
557	10.99419959
558	10.99414585
559	10.99411227
560	10.99408416
561	10.99321798
562	10.99317726
563	10.99201963
564	10.99181743
565	10.99152645
566	10.99031837
567	10.9900055
568	10.98974131
569	10.98971952
570	10.98893892
571	10.98852725
572	10.98848576
573	10.98845349
574	10.98839758
575	10.98839386
576	10.98836689
577	10.98831752
578	10.98776194
579	10.98774877
580	10.98773863
581	10.98708198
582	10.98615055
583	10.98590809
584	10.98557862
585	10.98554136
586	10.98527493
587	10.98522021
588	10.98520598
589	10.98513492
590	10.98420442
591	10.98381146
592	10.98291786
593	10.98264011
594	10.9825714
595	10.98227681
596	10.98106982
597	10.98103466
598	10.98101431
599	10.98078891
600	10.98077318
601	10.98072089
602	10.98012246
603	10.98008904
604	10.98007834
605	10.97981983
606	10.97978649
607	10.97928808
608	10.97927576
609	10.97918251
610	10.97913208
611	10.97911256
612	10.97905765
613	10.97903211
614	10.97900532
615	10.97896533
616	10.978928
617	10.97885809
618	10.97882536
619	10.97878966
620	10.97875013
621	10.97871861
622	10.9784604
623	10.97831867
624	10.97743207
625	10.97680257
626	10.97679241
627	10.97676311
628	10.97672928
629	10.9767071
630	10.9766499
631	10.97664537
632	10.97662622
633	10.97645991
634	10.97641637
635	10.97569092
636	10.97554782
637	10.97553861
638	10.97536392
639	10.97534633
640	10.97525149
641	10.97520515
642	10.97499139
643	10.97482881
644	10.97426748
645	10.97417514
646	10.97412381
647	10.97316433
648	10.97310889
649	10.97296961
650	10.97247503
651	10.97178976
652	10.97178469
653	10.97153528
654	10.9714776
655	10.97145823
656	10.97138547
657	10.97138097
658	10.96987537
659	10.96977406
660	10.96976553
661	10.96975983
662	10.96970112
663	10.96926723
664	10.96921383
665	10.96919102
666	10.96906218
667	10.96900345
668	10.96854091
669	10.96837432
670	10.96825303
671	10.96817807
672	10.9676945
673	10.96766756
674	10.96760024
675	10.96744746
676	10.96736347
677	10.9673497
678	10.96686537
679	10.9667619
680	10.96627081
681	10.96624842
682	10.96623733
683	10.96602724
684	10.96602494
685	10.96548117
686	10.96537665
687	10.96508993
688	10.9650454
689	10.964974
690	10.96494781
691	10.96435562
692	10.96284286
693	10.96265617
694	10.96256631
695	10.96253624
696	10.9616131
697	10.96157077
698	10.96152293
699	10.96094262
700	10.96092073
701	10.9608936
702	10.96086915
703	10.96084964
704	10.96061211
705	10.96059476
706	10.96057463
707	10.960244
708	10.96023789
709	10.96015726
710	10.96015278
711	10.96004784
712	10.96002178
713	10.96000147
714	10.9595251
715	10.95942022
716	10.95940309
717	10.95938182
718	10.9593389
719	10.95932334
720	10.95930741
721	10.95929655
722	10.95923769
723	10.95864245
724	10.95863687
725	10.95863147
726	10.95861096
727	10.95850317
728	10.95845116
729	10.95842912
730	10.95841965
731	10.95837166
732	10.958205
733	10.95781971
734	10.95780282
735	10.95778563
736	10.95749709
737	10.95680427
738	10.95679187
739	10.95667637
740	10.95664387
741	10.95652387
742	10.9565002
743	10.95648858
744	10.95648682
745	10.95597317
746	10.95585873
747	10.95493283
748	10.95412511
749	10.95411473
750	10.95409299
751	10.95396503
752	10.95395019
753	10.95341159
754	10.95316319
755	10.95304894
756	10.9530403
757	10.95225817
758	10.95222336
759	10.95206895
760	10.95204854
761	10.95203274
762	10.95197397
763	10.95184542
764	10.95143244
765	10.95140684
766	10.9507463
767	10.95069082
768	10.95068019
769	10.95066778
770	10.9503038
771	10.94977976
772	10.94967532
773	10.94933572
774	10.9484399
775	10.94842254
776	10.94788155
777	10.94779691
778	10.94778864
779	10.94778352
780	10.94766178
781	10.94760319
782	10.94759824
783	10.94678042
784	10.94671743
785	10.94664492
786	10.94647861
787	10.94636511
788	10.94616499
789	10.94616233
790	10.94614445
791	10.94613437
792	10.94613301
793	10.94611989
794	10.94611773
795	10.94584596
796	10.94580603
797	10.94512809
798	10.94499729
799	10.94488965
