iter	MAE
0	71.05894326
1	69.66927252
2	65.73321627
3	63.30582912
4	61.11948096
5	57.40356034
6	55.59719655
7	54.33744066
8	50.33238306
9	48.43233002
10	45.80877238
11	44.20191237
12	42.27374276
13	39.52662191
14	37.93874314
15	36.48163643
16	34.1342277
17	32.90202751
18	30.90580884
19	29.03129788
20	28.1007834
21	26.57866043
22	25.81282534
23	24.52247538
24	23.96157659
25	23.38347892
26	22.34833001
27	21.39674714
28	20.5130521
29	19.71079831
30	18.99112602
31	18.3178722
32	17.74549825
33	17.18272912
34	16.71640826
35	16.27049651
36	15.86984453
37	15.49151933
38	15.11175046
39	14.75749999
40	14.467223
41	14.20298245
42	13.92202331
43	13.66803148
44	13.4648808
45	13.2891397
46	13.12918666
47	12.96123937
48	12.83943749
49	12.70468879
50	12.59435251
51	12.48447074
52	12.40554536
53	12.33990525
54	12.27667281
55	12.20495579
56	12.15220314
57	12.11720088
58	12.07753016
59	12.03144646
60	12.00422535
61	11.96717244
62	11.93449013
63	11.90399347
64	11.87823993
65	11.84358236
66	11.82899711
67	11.81118002
68	11.78790679
69	11.76041735
70	11.75266188
71	11.74513356
72	11.72800417
73	11.71756112
74	11.71128639
75	11.69948858
76	11.68343741
77	11.67746802
78	11.661535
79	11.65744924
80	11.65251933
81	11.64063873
82	11.62788012
83	11.62527025
84	11.62177634
85	11.61681778
86	11.60160549
87	11.60035096
88	11.59820482
89	11.59586175
90	11.58334615
91	11.58186421
92	11.57636961
93	11.57310524
94	11.56894298
95	11.56569427
96	11.5591917
97	11.5531091
98	11.5442315
99	11.53607938
100	11.53473999
101	11.53318964
102	11.52377663
103	11.50415128
104	11.49841916
105	11.49435762
106	11.49095461
107	11.49017796
108	11.48462772
109	11.48319311
110	11.48073698
111	11.47983978
112	11.47741442
113	11.47403082
114	11.47315278
115	11.47256334
116	11.4712298
117	11.45538083
118	11.45499327
119	11.44287972
120	11.44264411
121	11.43137177
122	11.43050922
123	11.42419811
124	11.42273362
125	11.42151233
126	11.41893692
127	11.4092159
128	11.40416932
129	11.39488565
130	11.39384413
131	11.38416578
132	11.38384863
133	11.37409693
134	11.3690531
135	11.36247938
136	11.36192192
137	11.361778
138	11.36171398
139	11.35752907
140	11.35690337
141	11.35451847
142	11.35368121
143	11.35341627
144	11.34999468
145	11.34504389
146	11.34460418
147	11.34418735
148	11.34386963
149	11.33389328
150	11.33292446
151	11.33062168
152	11.32907314
153	11.32814931
154	11.32799257
155	11.32790732
156	11.32265299
157	11.32243638
158	11.32228852
159	11.32173677
160	11.32143187
161	11.32096224
162	11.32087075
163	11.31880139
164	11.31869408
165	11.31844886
166	11.31159378
167	11.31052492
168	11.31005316
169	11.30654464
170	11.30488876
171	11.30359946
172	11.30212245
173	11.30104082
174	11.29432455
175	11.29283236
176	11.28870502
177	11.28736107
178	11.28711884
179	11.28687035
180	11.28552898
181	11.28178287
182	11.28116473
183	11.2800579
184	11.27950331
185	11.27934398
186	11.27436466
187	11.26689141
188	11.26447536
189	11.2630583
190	11.25777754
191	11.25328079
192	11.24899188
193	11.24757796
194	11.24632592
195	11.24612597
196	11.24602105
197	11.24584911
198	11.24548333
199	11.2450966
200	11.23979484
201	11.23936951
202	11.23845749
203	11.23732133
204	11.23600539
205	11.23291173
206	11.23243737
207	11.22937436
208	11.22793273
209	11.22688981
210	11.22662523
211	11.22655188
212	11.22592788
213	11.22501718
214	11.22268287
215	11.22260405
216	11.22063039
217	11.21887285
218	11.21409248
219	11.20945743
220	11.20925097
221	11.20892558
222	11.20777051
223	11.20755405
