iter	Passed	Remaining
197	685309	2083617
198	688729	2080032
199	692896	2078688
200	696693	2076215
201	700364	2073356
202	704241	2071095
203	707359	2066598
204	710696	2062753
205	713949	2058671
206	717618	2055785
207	721309	2052958
208	724873	2049762
209	728673	2047224
210	732508	2044773
211	736895	2043842
212	740988	2042067
213	744385	2038365
214	747935	2035080
215	751697	2032367
216	755442	2029600
217	759150	2026721
218	763266	2024921
219	766300	2020247
220	770823	2019488
221	774559	2016644
222	777818	2012562
223	781583	2009787
224	785085	2006330
225	788190	2001864
226	790850	1996287
227	795036	1994565
228	799262	1992920
229	802895	1989783
230	806285	1986045
231	810550	1984450
232	813571	1979807
233	816521	1975005
234	820184	1971934
235	823513	1968056
236	826955	1964456
237	831166	1962670
238	834799	1959509
239	837925	1955160
240	840864	1950387
241	843824	1945677
242	847070	1941638
243	850570	1938184
244	854137	1934883
245	857433	1930968
246	860861	1927353
247	864665	1924577
248	868017	1920794
249	871461	1917215
250	874769	1913341
251	878462	1910307
252	881731	1906351
253	884592	1901525
254	888555	1899069
255	891734	1894935
256	894854	1890684
257	898617	1887794
258	901971	1884041
259	905710	1881090
260	908894	1876989
261	912015	1872764
262	916195	1870711
263	920367	1868625
264	923111	1863641
265	927029	1861030
266	929717	1855952
267	933247	1852565
268	937011	1849640
269	940654	1846470
270	943975	1842667
271	948239	1840699
272	952312	1838346
273	955600	1834474
274	959556	1831880
275	962934	1828179
276	965879	1823663
277	969139	1819750
278	972530	1816087
279	976309	1813145
280	979784	1809638
281	984219	1807892
282	987764	1804501
283	992057	1802470
284	995243	1798422
285	999242	1795840
286	1002852	1792556
287	1006236	1788864
288	1009227	1784482
289	1012083	1779871
290	1015352	1775995
291	1018539	1771980
292	1021873	1768224
293	1024930	1763995
294	1028783	1761137
295	1031778	1756812
296	1035632	1753949
297	1039270	1750717
298	1042667	1747078
299	1046068	1743448
300	1050017	1740725
301	1053447	1737141
302	1056693	1733256
303	1060100	1729637
304	1063639	1726235
305	1067324	1723065
306	1070976	1719841
307	1074463	1716350
308	1078501	1713735
309	1081414	1709332
310	1084960	1705934
311	1088272	1702169
312	1091936	1698955
313	1094924	1694691
314	1097955	1690503
315	1101362	1686896
316	1105544	1684473
317	1108668	1680434
318	1111557	1676046
319	1115078	1672617
320	1119424	1670419
321	1123020	1667091
322	1126634	1663791
323	1129985	1660102
324	1133208	1656227
325	1135945	1651650
326	1139545	1648333
327	1142376	1643907
328	1145594	1640045
329	1148931	1636356
330	1152298	1632713
331	1154582	1627543
332	1157895	1623835
333	1160511	1619157
334	1163865	1615515
335	1166963	1611521
336	1170068	1607541
337	1173735	1604336
338	1177356	1601065
339	1181044	1597883
340	1184603	1594524
341	1187837	1590729
342	1191586	1587624
343	1196290	1585779
344	1199803	1582349
345	1203285	1578876
346	1206912	1575595
347	1210385	1572109
348	1213355	1567974
349	1217217	1564994
350	1220563	1561347
351	1223741	1557489
352	1227001	1553738
353	1230320	1550065
354	1233704	1546474
355	1237177	1542996
356	1241420	1540473
357	1244405	1536388
358	1247646	1532624
359	1250980	1528976
360	1254818	1525942
361	1258695	1522952
362	1262364	1519706
363	1266659	1517207
364	1270468	1514119
365	1274906	1511774
366	1278444	1508355
367	1282213	1505207
368	1285698	1501723
369	1288869	1497875
370	1292197	1494211
371	1295677	1490726
372	1299153	1487234
373	1303224	1484421
374	1306867	1481116
375	1310724	1478050
376	1314323	1474692
377	1318468	1471940
378	1321566	1468019
379	1325260	1464761
380	1328396	1460887
381	1331819	1457330
382	1335065	1453583
383	1338699	1450257
384	1342800	1447434
385	1346361	1444025
386	1349904	1440595
387	1353058	1436752
388	1356895	1433635
389	1360230	1429986
390	1363688	1426466
391	1367282	1423089
392	1370700	1419529
393	1373596	1415431
394	1377496	1412370
395	1381190	1409093
396	1384541	1405466
397	1388354	1402307
398	1392360	1399339
399	1395869	1395869
400	1399802	1392821
401	1403246	1389284
402	1407462	1386507
403	1411101	1383158
404	1414812	1379878
405	1418120	1376205
406	1421217	1372330
407	1424574	1368708
408	1427885	1365044
409	1431469	1361641
410	1435481	1358642
411	1438410	1354619
412	1441095	1350372
413	1444655	1346949
414	1448562	1343846
415	1452472	1340743
416	1456162	1337434
417	1459675	1333961
418	1463134	1330439
419	1467236	1327499
420	1471078	1324320
421	1475271	1321452
422	1478904	1318077
423	1483363	1315435
424	1487861	1312818
425	1491427	1309375
426	1495254	1306159
427	1499172	1303018
428	1502906	1299715
429	1506483	1296276
430	1509596	1292438
431	1512888	1288756
432	1516403	1285266
433	1519322	1281271
434	1522589	1277574
435	1525939	1273949
436	1529698	1270664
437	1532610	1266677
438	1535810	1262932
439	1538729	1258960
440	1541994	1255274
441	1544988	1251371
442	1548049	1247525
443	1550879	1243498
444	1554261	1239916
445	1557203	1235986
446	1560658	1232466
447	1563793	1228694
448	1567458	1225340
449	1571059	1221935
450	1574482	1218391
451	1577990	1214912
452	1581403	1211362
453	1584689	1207714
454	1588267	1204290
455	1591364	1200503
456	1594633	1196847
457	1597524	1192911
458	1600758	1189234
459	1604179	1185698
460	1607099	1181793
461	1609885	1177794
462	1612598	1173748
463	1616296	1170421
464	1620063	1167142
465	1623150	1163373
466	1626119	1159524
467	1628893	1155539
468	1632237	1151963
469	1635655	1148439
470	1639053	1144901
471	1642851	1141642
472	1646485	1138267
473	1650196	1134945
474	1653332	1131227
475	1656861	1127779
476	1660331	1124291
477	1664234	1121094
478	1667953	1117772
479	1670936	1113957
480	1674313	1110407
481	1677545	1106762
482	1681613	1103667
483	1685933	1100733
484	1690087	1097685
485	1694134	1094563
486	1698424	1091595
487	1702042	1088190
488	1705380	1084608
489	1709069	1081248
490	1712086	1077463
491	1715144	1073708
492	1718817	1070338
493	1722266	1066828
494	1725618	1063260
495	1729236	1059854
496	1732793	1056411
497	1736637	1053141
498	1739084	1049026
499	1742521	1045512
500	1745935	1041985
501	1749173	1038353
502	1752833	1034973
503	1755617	1031076
504	1759206	1027655
505	1762866	1024274
506	1766283	1020751
507	1770008	1017406
508	1773617	1013993
509	1777088	1010501
510	1781282	1007417
511	1785217	1004184
512	1789276	1001018
513	1792725	997508
514	1796603	994236
515	1800049	990724
516	1803582	987260
517	1806934	983697
518	1810891	980463
519	1814257	976907
520	1818027	973569
521	1821827	970245
522	1825137	966659
523	1828874	963300
524	1832529	959896
525	1836455	956632
526	1840047	953193
527	1843929	949903
528	1847933	946672
529	1851544	943239
530	1854944	939698
531	1858490	936231
532	1861843	932668
533	1865841	929426
534	1869149	925840
535	1872150	922103
536	1875775	918675
537	1880136	915605
538	1883941	912261
539	1887252	908677
540	1891008	905306
541	1894737	901923
542	1898538	898571
543	1902556	895320
544	1906190	891887
545	1909491	888298
546	1912610	884626
547	1915371	880791
548	1918044	876920
549	1920490	872950
550	1923980	869457
551	1927900	866158
552	1931443	862687
553	1934638	859063
554	1937693	855378
555	1940093	851407
556	1944049	848122
557	1947072	844429
558	1950944	841104
559	1954098	837470
560	1957254	833839
561	1960696	830330
562	1963155	826408
563	1966754	822968
564	1969556	819196
565	1973241	815792
566	1976277	812121
567	1980245	808832
568	1983995	805453
569	1988150	802236
570	1992175	798963
571	1996058	795631
572	1998878	791876
573	2002074	788273
574	2005592	784797
575	2008883	781232
576	2012920	777957
577	2016493	774500
578	2019997	771017
579	2023106	767385
580	2026405	763825
581	2030067	760403
582	2033816	757012
583	2037427	753569
584	2040969	750099
585	2044150	746498
586	2047422	742931
587	2050073	739141
588	2054205	735886
589	2058610	732725
590	2061878	729158
591	2064926	725514
592	2067862	721833
593	2070784	718150
594	2074429	714719
595	2077733	711170
596	2080670	707497
597	2083460	703777
598	2087077	700338
599	2090893	696964
600	2094203	693421
601	2097110	689747
602	2100590	686262
603	2103955	682740
604	2106652	679003
605	2110309	675577
606	2113575	672026
607	2117110	668561
608	2120174	664948
609	2123428	661395
610	2126945	657925
611	2130769	654550
612	2133780	650924
613	2137457	647503
614	2140828	643989
615	2144079	640439
616	2147208	636854
617	2150923	633443
618	2154169	629894
619	2158067	626535
620	2162226	623250
621	2164859	619525
622	2168261	616022
623	2172355	612715
624	2176557	609436
625	2180003	605943
626	2183830	602556
627	2188395	599369
628	2191831	595871
629	2195927	592551
630	2198834	588911
631	2202092	585366
632	2205078	581750
633	2209434	578495
634	2212827	574986
635	2215936	571405
636	2219658	567981
637	2222889	564432
638	2226632	561013
639	2230266	557566
640	2234191	554190
641	2237963	550776
642	2241625	547333
643	2245365	543908
644	2248316	540293
645	2251565	536751
646	2254440	533121
647	2257919	529635
648	2261465	526165
649	2264962	522683
650	2267932	519081
651	2271468	515609
652	2275099	512158
653	2278604	508679
654	2282134	505205
655	2285586	501714
656	2289461	498314
657	2292444	494722
658	2296448	491349
659	2299632	487800
660	2303514	484400
661	2306897	480893
662	2311023	477541
663	2314569	474068
664	2318723	470718
665	2322337	467257
666	2325734	463752
667	2328300	460083
668	2332052	456650
669	2335706	453196
670	2337966	449475
671	2341924	446080
672	2345429	442599
673	2349041	439138
674	2352253	435602
675	2355758	432121
676	2358926	428578
677	2361723	424970
678	2365119	421472
679	2368624	417992
680	2371917	414475
681	2375096	410940
682	2379427	407603
683	2383469	404214
684	2386694	400686
685	2390243	397212
686	2394175	393801
687	2398106	390389
688	2401992	386968
689	2405688	383515
690	2409430	380069
691	2413672	376700
692	2417657	373289
693	2421871	369911
694	2425149	366389
695	2428686	362907
696	2431867	359372
697	2435453	355897
698	2439275	352456
699	2442712	348958
700	2445967	345436
701	2449892	342007
702	2453175	338489
703	2456774	335014
704	2459582	331433
705	2462921	327924
706	2466727	324477
707	2470377	321009
708	2474112	317551
709	2477394	314035
710	2480862	310543
711	2484802	307110
712	2488240	303614
713	2491479	300094
714	2494965	296604
715	2497853	293044
716	2501595	289584
717	2504485	286027
718	2507718	282510
719	2511191	279021
720	2515009	275569
721	2518608	272093
722	2521990	268593
723	2525454	265102
724	2529316	261653
725	2533009	258185
726	2536266	254673
727	2539247	251134
728	2543797	247749
729	2547554	244286
730	2551283	240818
731	2554790	237330
732	2558724	233880
733	2561727	230346
734	2564921	226829
735	2568404	223339
736	2571764	219838
737	2575489	216369
738	2579074	212887
739	2583285	209455
740	2586736	205961
741	2590156	202465
742	2593675	198976
743	2597298	195495
744	2600126	191955
745	2603867	188483
746	2606982	184966
747	2611234	181529
748	2614784	178042
749	2618559	174570
750	2622917	171135
751	2626555	167652
752	2630231	164171
753	2633711	160677
754	2637286	157189
755	2640750	153694
756	2644633	150223
757	2648292	146739
758	2652248	143270
759	2656681	139825
760	2659928	136316
761	2663036	132802
762	2667050	129332
763	2670683	125843
764	2674303	122353
765	2678414	118885
766	2682159	115399
767	2686007	111916
768	2689510	108419
769	2692557	104904
770	2696579	101427
771	2699905	97924
772	2703449	94428
773	2706614	90919
774	2710353	87430
775	2713654	83927
776	2716977	80425
777	2721135	76947
778	2724678	73450
779	2727755	69942
780	2731670	66455
781	2735314	62961
782	2739001	59467
783	2742701	55973
784	2746727	52485
785	2749970	48981
786	2753064	45476
787	2756286	41973
788	2760031	38479
789	2763720	34983
790	2767364	31487
791	2770930	27989
792	2774003	24486
793	2776804	20983
794	2779622	17481
795	2782823	13984
796	2785978	10486
797	2789726	6991
798	2793176	3495
799	2795931	0
